,Agent Name,KD,Kills,Deaths,Assists,Win Rate,Pick Rate,ACS,First Blood,Num Matches,Date,Agent Type
0,Jett,1.14,17.6,15.4,4,50.20%,15.60%,248,18.10%,"32,946",21/07/2021,Duelist
1,Reyna,1.17,18.1,15.5,4.2,52%,15.50%,256,16.40%,"32,844",21/07/2021,Duelist
2,Sage,0.96,13.9,14.5,4.6,52.10%,12.40%,195,12%,"26,316",21/07/2021,Sentinel
3,Omen,0.93,14,15.1,5.1,48.70%,9.10%,199,12.40%,"19,176",21/07/2021,Controller
4,Raze,1.05,16.2,15.4,4.9,50.30%,8.30%,241,15.70%,"17,646",21/07/2021,Duelist
5,Killjoy,1.01,14,13.8,4,50.90%,7%,206,9.70%,"14,841",21/07/2021,Sentinel
6,Sova,0.96,14,14.6,5.6,46.40%,6.40%,203,9.90%,"13,617",21/07/2021,Initiator
7,Viper,1,14.6,14.7,5.6,49.80%,5.20%,206,10.60%,"11,067",21/07/2021,Controller
8,Phoenix,1.09,16.5,15.2,4,49%,4.80%,237,15.70%,"10,098",21/07/2021,Duelist
9,Brimstone,1.01,14.9,14.9,6.6,45.80%,3.70%,215,11.60%,"7,905",21/07/2021,Controller
10,Cypher,0.99,14.1,14.3,4.3,47.30%,3.60%,197,8.80%,"7,650",21/07/2021,Sentinel
11,Skye,0.97,14.2,14.7,3.9,45.90%,2.60%,204,13.80%,"5,559",21/07/2021,Initiator
12,Yoru,0.91,14.7,16.1,3.7,42.20%,2.20%,203,14.30%,"4,590",21/07/2021,Duelist
13,Breach,0.94,14.5,15.4,5.4,47.70%,2.10%,208,12.80%,"4,386",21/07/2021,Initiator
14,Astra,0.99,14.9,15.1,4.8,33.90%,1.40%,211,9.70%,"3,009",21/07/2021,Controller
0,Reyna,1.2,18.2,15.2,4.1,50.80%,16.40%,260,16.40%,"24,072",28/07/2021,Duelist
1,Jett,1.17,18,15.4,3.8,51.60%,15.50%,256,18.70%,"22,746",28/07/2021,Duelist
2,Sage,0.98,14.3,14.6,4.7,53.20%,12.80%,196,11.30%,"18,870",28/07/2021,Sentinel
3,Omen,0.97,14.4,14.8,5.1,48.60%,8.50%,203,12.30%,"12,495",28/07/2021,Controller
4,Raze,1.03,15.9,15.4,5.2,54.90%,7.10%,236,16.40%,"10,506",28/07/2021,Duelist
5,Sova,1,14.1,14,5.8,48.50%,7.10%,204,9.80%,"10,404",28/07/2021,Initiator
6,Killjoy,1.02,13.8,13.5,3.8,52.90%,6.50%,206,10.50%,"9,537",28/07/2021,Sentinel
7,Viper,1.07,15.1,14.1,5.4,54.30%,5.20%,213,10.90%,"7,701",28/07/2021,Controller
8,Phoenix,1.08,16.5,15.3,4.4,52%,4.30%,237,17.40%,"6,273",28/07/2021,Duelist
9,Cypher,0.96,14,14.6,4.5,45.10%,4.20%,200,10.60%,"6,222",28/07/2021,Sentinel
10,Brimstone,0.94,14.1,15,6.4,47.50%,4.10%,203,13.40%,"6,018",28/07/2021,Controller
11,Skye,0.98,14.6,15,3.8,50%,3.10%,205,13.10%,"4,488",28/07/2021,Initiator
12,Breach,0.87,13.9,15.9,5.1,46%,2.20%,197,14%,"3,213",28/07/2021,Initiator
13,Yoru,1.02,16.2,15.9,3.6,51.70%,2%,228,15.90%,"2,958",28/07/2021,Duelist
14,Astra,0.99,15,15.2,5.4,41.40%,1%,208,10.10%,"1,479",28/07/2021,Controller
0,Reyna,1.16,17.7,15.2,4.3,52.90%,15.10%,253,16.90%,"13,872",4/08/2021,Duelist
1,Jett,1.1,16.8,15.3,3.6,48.70%,14.80%,244,19%,"13,617",4/08/2021,Duelist
2,Sage,1,14.1,14.1,4.3,57.20%,13.90%,197,11.10%,"12,750",4/08/2021,Sentinel
3,Omen,0.95,14.5,15.2,5,46.80%,10.40%,201,12.60%,"9,588",4/08/2021,Controller
4,Raze,1.03,16.4,15.9,5.1,55%,7.80%,243,16.10%,"7,140",4/08/2021,Duelist
5,Sova,0.94,14.3,15.3,5.9,35.30%,6.40%,201,10.10%,"5,916",4/08/2021,Initiator
